name,gender,classroom,dob,height,boarding,science,english,math,music
Ali,male,Gamma,17/2/1985,167.74,Yes,65,76,49,57
Billy,male,Tau,20/8/1983,164.71,Yes,72,70,84,77
Cindy,female,Alpha,26/10/1985,167.74,No,94,89,57,94
Danny,male,Beta,20/5/1985,179.87,Yes,55,57,79,99
Eric,male,Gamma,17/1/1982,177.85,No,95,41,90,42
Fanny,female,Tau,18/12/1984,177.85,No,65,58,43,42
Gill,female,Alpha,16/9/1986,176.84,Yes,55,81,87,70
Hanley,male,Tau,9/1/1986,167.74,No,91,85,68,47
Issac,male,Alpha,21/2/1984,175.83,No,96,63,52,53
Judy,female,Beta,1/11/1985,168.75,No,79,57,81,95
Kenny,male,Gamma,2/3/1983,173.81,Yes,76,72,53,98
Leslie,male,Tau,9/4/1982,171.78,Yes,64,98,74,80
Mandy,female,Alpha,8/5/1986,179.87,No,51,71,96,65
Nancy,female,Beta,24/7/1983,176.84,Yes,76,86,85,71
Oliver,female,Gamma,19/10/1984,176.84,Yes,87,59,97,99
Pattrick,male,Tau,9/8/1983,169.76,No,66,90,74,88
Quennie,female,Alpha,22/9/1985,177.85,No,88,85,51,79
Rudy,male,Beta,30/12/1983,176.84,No,68,92,63,51
Sandy,female,Gamma,5/6/1985,174.82,Yes,62,52,76,86
Tom,male,Tau,9/6/1982,167.74,No,76,59,58,88
Uthaya,male,Alpha,6/10/1986,172.8,Yes,73,97,98,68
Victor,male,Beta,12/8/1983,178.86,No,67,66,96,64
Willy,male,Gamma,18/9/1982,164.71,Yes,63,66,91,54
Xin,female,Tau,12/9/1985,164.71,No,78,50,73,91
Yaxley,male,Alpha,7/7/1985,178.86,No,97,95,68,82
Zoe,female,Beta,2/8/1984,165.72,Yes,98,63,53,100
Alice,female,Gamma,1/3/1984,171.03,Yes,86,50,51,69
Brenda,female,Tau,3/7/1984,179.27,Yes,57,43,50,55
Candy,female,Alpha,20/10/1982,170,No,73,91,86,53
Dylan,male,Beta,19/4/1983,185.45,Yes,85,98,73,70
Elle,female,Gamma,27/2/1984,189.57,No,97,92,54,67
Francis,male,Tau,16/12/1982,178.24,No,60,53,50,50
Gordon,male,Alpha,5/5/1985,174.12,Yes,61,85,79,81
Honey,female,Gamma,10/10/1984,189.57,No,95,83,96,94
Icy,female,Tau,21/11/1984,175.15,No,61,85,88,68
John,male,Alpha,11/11/1981,172.06,No,86,90,61,87
Kennth,male,Beta,3/3/1983,173.09,Yes,84,93,56,51
Louise,male,Gamma,9/6/1985,182.36,Yes,50,92,70,84
Monroe,female,Tau,1/5/1985,181.33,No,98,82,97,84
Nelson,female,Alpha,12/7/1984,177.21,Yes,79,80,58,51
Orlando,male,Beta,17/1/1982,181.33,Yes,60,57,60,57
Patticia,female,Gamma,9/8/1983,180.3,No,67,73,53,64
Quay,male,Tau,22/2/1982,179.27,No,56,57,67,96
Ron,male,Alpha,12/12/1983,174.12,No,89,89,91,56
Suny,male,Beta,6/6/1986,184.42,Yes,82,68,99,79
Tammy,female,Gamma,9/9/1985,176.18,No,82,54,98,62
Umar,female,Tau,10/10/1984,178.24,Yes,90,90,93,94
Vicky,female,Alpha,7/12/1986,174.12,No,75,61,62,76
Winnie,female,Beta,8/8/1983,179.27,Yes,91,76,86,57
X'ievier,male,Gamma,19/10/1984,174.12,No,77,77,98,66
Yunnie,female,Tau,16/9/1986,186.48,No,51,77,81,97
Zack,male,Alpha,4/4/1984,177.21,Yes,51,45,54,59
