name,bloodtype,citizenship,dob,height,zodiac
Ali,O,Local,1985-02-17,167.74,Aquarius
Billy,A,Foreinger,1983-08-20,164.71,Leo
Cindy,O,PR,1985-10-26,167.74,Scorpio
Danny,B,PR,1985-05-20,179.87,Taurus
Eric,A,Foreinger,1982-01-17,177.85,Capricorn
Fanny,AB,Local,1984-12-18,177.85,Sagittarius
Gill,O,PR,1986-09-16,176.84,Virgo
Hanley,O,Foreinger,1986-01-09,167.74,Capricorn
Issac,B,Local,1984-02-21,175.83,Pisces
Judy,A,PR,1985-11-01,168.75,Scorpio
Kenny,O,Local,1983-03-02,173.81,Pisces
Leslie,AB,PR,1982-04-09,171.78,Aries
Mandy,B,Foreinger,1986-05-08,179.87,Taurus
Nancy,A,PR,1983-07-24,176.84,Leo
Oliver,O,Local,1984-10-19,176.84,Libra
Pattrick,A,Local,1983-08-09,169.76,Leo
Quennie,O,PR,1985-09-22,177.85,Virgo
Rudy,AB,Foreinger,1983-12-30,176.84,Capricorn
Sandy,O,PR,1985-06-05,174.82,Gemini
Tom,B,Local,1982-06-09,167.74,Gemini
Uthaya,A,Local,1986-10-06,172.8,Libra
Victor,A,PR,1983-08-12,178.86,Leo
Willy,AB,Foreinger,1982-09-18,164.71,Virgo
Xin,O,PR,1985-09-12,164.71,Virgo
Yaxley,O,Local,1985-07-07,178.86,Cancer
Zoe,B,Local,1984-08-02,165.72,Leo
Alice,AB,Foreinger,1981-10-26,179.54,Scorpio
Brenda,O,PR,1983-09-18,158.04,Virgo
Candy,O,PR,1981-11-11,163.98,Scorpio
Dylan,B,Foreinger,1987-03-24,181.15,Aries
Elle,A,Local,1983-04-30,177.55,Taurus
Francis,O,PR,1985-10-06,187.18,Libra
Gordon,AB,Local,1984-05-26,169.75,Gemini
Honey,O,Local,1986-01-16,171.56,Capricorn
Icy,B,PR,1981-12-04,185.6,Sagittarius
John,A,Foreinger,1985-05-25,174.62,Gemini
Kennth,O,Local,1984-03-09,183.97,Pisces
Louise,A,PR,1980-10-23,184.36,Scorpio
Monroe,O,Local,1987-05-28,173.41,Gemini
Nelson,B,PR,1980-09-24,189.4,Libra
Orlando,A,Foreinger,1980-01-06,155.76,Capricorn
Patticia,AB,PR,1987-01-13,162.77,Capricorn
Quay,B,Local,1984-02-02,180.08,Aquarius
Ron,A,Local,1984-04-23,180.32,Taurus
Suny,O,PR,1986-02-10,190.6,Aquarius
Tammy,AB,Foreinger,1984-07-19,162.37,Leo
Umar,O,PR,1982-05-13,156.71,Taurus
Vicky,O,Local,1986-04-25,160.88,Taurus
Winnie,B,Foreinger,1984-06-21,178.3,Cancer
X'ievier,A,Local,1983-10-27,188.75,Scorpio
Yunnie,O,Local,1987-01-14,180.33,Capricorn
Zack,A,PR,1987-09-21,171.41,Virgo
